task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_precision,validation_recall,validation_f1,validation_accuracy,experiment_elapsed_time
token-classification,pos,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-pos,5e-05,64,0.0,1.0,kldiv,15,0.0846960237966134,0.9729058613853455,0.971874374874975,0.9723898445865482,0.9757384167126888,345.3753881454468
token-classification,pos,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-pos,5e-05,32,0.0,1.0,kldiv,15,0.08618045741548905,0.9733381372725635,0.9727345469093819,0.9730362484867282,0.9763097255813068,357.8389239311218
token-classification,pos,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-pos,5e-05,16,0.0,1.0,kldiv,13,0.081515958532691,0.9734823449298003,0.9722944588917783,0.9728880393118426,0.9761573765496753,292.51410698890686
token-classification,pos,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-pos,0.0001,64,0.0,1.0,kldiv,15,0.0851172309082288,0.9734506181497585,0.9718343668733747,0.972641821075708,0.9759478966311821,330.02625250816345
token-classification,pos,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-pos,0.0001,32,0.0,1.0,kldiv,14,0.08641899463075858,0.9725997237956088,0.9720744148829766,0.9723369983892429,0.9757003294547809,329.01221561431885
token-classification,pos,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-pos,0.0001,16,0.0,1.0,kldiv,13,0.0824195529298427,0.9734054270551717,0.9723344668933787,0.9728696522391793,0.9760050275180439,275.84871912002563
token-classification,ner,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-ner,5e-05,64,0.0,1.0,kldiv,20,0.14481898446877797,0.6881766079388665,0.74614499424626,0.7159893992932862,0.9566524254225113,458.12956953048706
token-classification,ner,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-ner,5e-05,32,0.0,1.0,kldiv,15,0.14154814661790927,0.6843229389149936,0.7373993095512082,0.7098703888334996,0.9559907746984763,379.9065594673157
token-classification,ner,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-ner,5e-05,16,0.0,1.0,kldiv,14,0.1443239050762107,0.6961916987590928,0.7489067894131185,0.7215877591750748,0.9570872244697342,370.8006181716919
token-classification,ner,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-ner,0.0001,64,0.0,1.0,kldiv,14,0.14708144068717957,0.656418778562526,0.7272727272727273,0.6900316628452888,0.9528526598359106,321.9882802963257
token-classification,ner,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-ner,0.0001,32,0.0,1.0,kldiv,14,0.14633952950437865,0.6790352504638218,0.7581127733026467,0.7163984341017835,0.9547241861696094,358.19999718666077
token-classification,ner,josecannete/albert-base-spanish-2,CenIA/roberta-base-bne-finetuned-ner,0.0001,16,0.0,1.0,kldiv,13,0.1419833285578837,0.7091066033664221,0.7562715765247411,0.7319300590266176,0.9576354493553632,335.49121379852295
