task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_f1,validation_exact_match,experiment_elapsed_time
question-answering,mlqa,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,64,0.0,1.0,kldiv,34,2.2069075405597687,63.49006865573473,37.8,13970.212298154831
question-answering,mlqa,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,32,0.0,1.0,kldiv,39,2.219914548099041,63.26090760065019,39.4,15034.053228139877
question-answering,mlqa,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,16,0.0,1.0,kldiv,34,2.208869904279709,63.82996577778056,39.8,12494.004357099533
question-answering,mlqa,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,64,0.0,1.0,kldiv,38,2.1959624141454697,63.81577942649743,39.4,15574.681745529175
question-answering,mlqa,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,32,0.0,1.0,kldiv,29,2.2544811069965363,63.385295269910344,41.4,11229.86050438881
question-answering,mlqa,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,16,0.0,1.0,kldiv,50,2.254486806690693,63.148750297831775,38.6,18290.934720277786
question-answering,sqac,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,64,0.0,1.0,kldiv,41,1.3253145145647454,68.91383880912463,50.59012875536481,6360.08607006073
question-answering,sqac,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,32,0.0,1.0,kldiv,37,1.251222839861205,69.58457285469501,51.12660944206009,5695.203515529633
question-answering,sqac,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,16,0.0,1.0,kldiv,46,1.2023739903482773,70.9113093444773,53.37982832618026,6775.038659334183
question-answering,sqac,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,64,0.0,1.0,kldiv,29,1.2516524611097393,69.34151007172984,51.502145922746784,4626.066136598587
question-answering,sqac,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,32,0.0,1.0,kldiv,50,1.1783379794973317,71.63684129371389,53.59442060085837,7547.971084117889
question-answering,sqac,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,16,0.0,1.0,kldiv,46,1.1960450597391783,71.0994545189122,53.91630901287554,6780.53145813942
question-answering,tar,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,64,0.0,1.0,kldiv,31,1.7045579803995339,72.63568374382434,55.55345316934721,15786.211519241333
question-answering,tar,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,32,0.0,1.0,kldiv,36,1.6608502164662602,73.40925099489677,56.23462630085147,17103.17083120346
question-answering,tar,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,16,0.0,1.0,kldiv,40,1.635514116116676,73.63030079967328,56.44276253547777,17978.556795597076
question-answering,tar,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,64,0.0,1.0,kldiv,37,1.6454667707523667,73.50282828536932,56.2724692526017,18613.408219575882
question-answering,tar,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,32,0.0,1.0,kldiv,46,1.6226690196129212,73.98665177362545,57.24692526017029,21523.314421653748
question-answering,tar,josecannete/albert-base-spanish-4,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,16,0.0,1.0,kldiv,44,1.6399462560573257,73.51802282328272,56.75496688741722,19726.294338941574
