task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_f1,validation_exact_match,experiment_elapsed_time
question-answering,mlqa,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,64,0.0,1.0,kldiv,13,2.998263269662857,43.364961923633416,20.2,3231.3471636772156
question-answering,mlqa,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,32,0.0,1.0,kldiv,13,2.945498138666153,47.10288562676937,22.8,3108.6290974617004
question-answering,mlqa,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,16,0.0,1.0,kldiv,13,2.9123484194278717,46.46049879125575,23.0,3039.093164205551
question-answering,mlqa,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,64,0.0,1.0,kldiv,13,2.8667725920677185,46.455852113042695,26.0,3230.2643435001373
question-answering,mlqa,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,32,0.0,1.0,kldiv,44,2.8601947277784348,46.95175071469188,23.8,10249.773017644882
question-answering,mlqa,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,16,0.0,1.0,kldiv,31,2.8630719408392906,46.900296819063094,25.2,7105.0303606987
question-answering,sqac,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,64,0.0,1.0,kldiv,14,2.1150662610025117,52.38673328796954,34.49570815450644,1451.1326849460602
question-answering,sqac,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,32,0.0,1.0,kldiv,47,2.1235605640844866,53.52702797560337,35.032188841201716,4276.698841810226
question-answering,sqac,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,16,0.0,1.0,kldiv,32,1.9490622072729447,57.985765065740885,39.69957081545064,2951.413964033127
question-answering,sqac,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,64,0.0,1.0,kldiv,37,1.9932358662287395,56.84441848796369,38.51931330472103,3438.1522064208984
question-answering,sqac,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,32,0.0,1.0,kldiv,43,1.8905490654887576,58.36911801859314,40.61158798283262,3933.600841522217
question-answering,sqac,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,16,0.0,1.0,kldiv,33,1.8823882973831119,58.9189511459513,40.182403433476395,3037.838327884674
question-answering,tar,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,64,0.0,1.0,kldiv,14,2.1240647629082923,61.55774716666838,44.15326395458846,4707.448394775391
question-answering,tar,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,32,0.0,1.0,kldiv,13,2.1365160669188903,61.62507342422613,43.62346263008514,4236.059306144714
question-answering,tar,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,16,0.0,1.0,kldiv,13,2.0820235107767293,63.71696209633699,45.73320719016083,4094.274927377701
question-answering,tar,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,64,0.0,1.0,kldiv,40,2.139133971139609,61.86299549255219,44.07757805108798,12109.130499601364
question-answering,tar,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,32,0.0,1.0,kldiv,44,2.1047315051756708,63.019349891847305,45.402081362346266,12797.575251102448
question-answering,tar,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,16,0.0,1.0,kldiv,35,2.022378628063633,64.78263995255207,47.21854304635762,10072.666841983795
