task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_f1,validation_exact_match,experiment_elapsed_time
question-answering,mlqa,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,64,0.0,1.0,kldiv,35,2.063012346625328,67.24208117040811,42.2,20437.686710357666
question-answering,mlqa,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,32,0.0,1.0,kldiv,41,2.045443445444107,68.70195473455244,42.8,22118.888327360153
question-answering,mlqa,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,16,0.0,1.0,kldiv,49,2.0405337177217007,68.27159613148866,42.6,24911.348521471024
question-answering,mlqa,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,64,0.0,1.0,kldiv,44,2.0447597801685333,68.92802159759259,45.0,25479.560208320618
question-answering,mlqa,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,32,0.0,1.0,kldiv,30,2.0770874097943306,66.74404163882008,40.8,16245.83222937584
question-answering,mlqa,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,16,0.0,1.0,kldiv,26,2.1457864828407764,64.14879621270721,40.4,13306.146976947784
question-answering,sqac,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,64,0.0,1.0,kldiv,47,1.0996250546339787,72.89877331926837,54.72103004291846,10193.312541246414
question-answering,sqac,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,32,0.0,1.0,kldiv,46,1.0241429688352528,74.44949251081906,57.18884120171674,9796.252941846848
question-answering,sqac,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,16,0.0,1.0,kldiv,43,0.9902052276462089,75.22468006332296,58.261802575107296,8866.268810033798
question-answering,sqac,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,64,0.0,1.0,kldiv,46,1.0138315106883193,74.72897416186018,57.832618025751074,9984.579609155655
question-answering,sqac,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,32,0.0,1.0,kldiv,41,0.9818945766398401,74.83854342999881,57.67167381974249,8806.5390625
question-answering,sqac,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,16,0.0,1.0,kldiv,50,1.0086807062607686,75.29821066620048,58.53004291845494,10215.443230628967
question-answering,tar,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,64,0.0,1.0,kldiv,37,1.5661993594054717,75.45657500239686,58.42005676442763,25977.634714841843
question-answering,tar,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,32,0.0,1.0,kldiv,43,1.5321646059852048,76.32944537587147,59.40397350993378,28228.438505649567
question-answering,tar,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,16,0.0,1.0,kldiv,38,1.5281623155776276,76.38077643038444,59.3755912961211,23469.612325191498
question-answering,tar,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,64,0.0,1.0,kldiv,38,1.5274323846202298,76.27445295261572,59.3755912961211,26634.803763628006
question-answering,tar,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,32,0.0,1.0,kldiv,47,1.521593012723578,76.08559158506698,59.11069063386944,30346.1886677742
question-answering,tar,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,16,0.0,1.0,kldiv,46,1.5324417160577084,76.20609974711905,59.517502365184484,28112.361613035202
