task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_precision,validation_recall,validation_f1,validation_accuracy,experiment_elapsed_time
token-classification,pos,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-pos,5e-05,64,0.0,1.0,kldiv,15,0.06523470401477355,0.9808912099565801,0.9806361272254451,0.9807636520051617,0.9827274285387824,913.9744157791138
token-classification,pos,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-pos,5e-05,32,0.0,1.0,kldiv,14,0.06530277169524477,0.9805440461178166,0.9799359871974395,0.9802399223604038,0.9821751632991182,825.7969350814819
token-classification,pos,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-pos,5e-05,16,0.0,1.0,kldiv,14,0.0638744654178691,0.9814185134810784,0.9815363072614522,0.9814774068369571,0.9832796937784464,840.321964263916
token-classification,pos,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-pos,0.0001,64,0.0,1.0,kldiv,14,0.06477152169323884,0.9802936939820742,0.9801760352070414,0.9802348610638767,0.9823655995886577,768.0372171401978
token-classification,pos,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-pos,0.0001,32,0.0,1.0,kldiv,14,0.06381842110735866,0.9806248874121815,0.9800560112022404,0.980340366779722,0.9823465559597037,851.9314613342285
token-classification,pos,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-pos,0.0001,16,0.0,1.0,kldiv,13,0.06905840866518421,0.9787072091020171,0.9773954790958191,0.9780509042867295,0.9802708004037249,866.0959279537201
token-classification,ner,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-ner,5e-05,64,0.0,1.0,kldiv,19,0.1111132966975371,0.7994634473507712,0.8230149597238204,0.8110682694488546,0.9688646073575561,1164.8329401016235
token-classification,ner,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-ner,5e-05,32,0.0,1.0,kldiv,14,0.11141523563613494,0.7998652291105122,0.8195627157652474,0.8095941798340344,0.968486521229536,954.9592807292938
token-classification,ner,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-ner,5e-05,16,0.0,1.0,kldiv,20,0.11337951474512617,0.8153428377460964,0.829228998849252,0.8222272934732998,0.9702257174184279,1285.0440921783447
token-classification,ner,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-ner,0.0001,64,0.0,1.0,kldiv,19,0.11205584419270356,0.7995589856670342,0.8345224395857307,0.8166666666666667,0.969242693485576,1152.144212961197
token-classification,ner,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-ner,0.0001,32,0.0,1.0,kldiv,25,0.11312020954986414,0.8176670441676104,0.8308400460299195,0.8242009132420091,0.9706605164656509,1564.5826094150543
token-classification,ner,josecannete/albert-base-spanish-8,CenIA/roberta-base-bne-finetuned-ner,0.0001,16,0.0,1.0,kldiv,15,0.11866518404179563,0.7840538779057137,0.8306098964326812,0.8066607063030844,0.9668985594918522,1005.1065554618835
