task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_f1,validation_exact_match,experiment_elapsed_time
question-answering,mlqa,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,64,0.0,1.0,kldiv,43,1.9676316976547241,70.76037011608523,44.8,39521.184114694595
question-answering,mlqa,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,32,0.0,1.0,kldiv,48,1.9880167990922928,69.71974172412129,44.2,40742.12065196037
question-answering,mlqa,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,16,0.0,1.0,kldiv,32,1.9682868123054504,70.42910733826328,45.0,25548.956466913223
question-answering,mlqa,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,64,0.0,1.0,kldiv,26,1.9736377745866776,69.29326597070735,43.6,24009.555757522583
question-answering,mlqa,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,32,0.0,1.0,kldiv,44,2.0160337910056114,69.26806668837781,43.6,37376.66083407402
question-answering,mlqa,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,16,0.0,1.0,kldiv,40,2.0602720007300377,67.02186341976326,42.0,31919.49941110611
question-answering,sqac,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,64,0.0,1.0,kldiv,34,0.9194634014909918,76.31290189154464,59.12017167381974,11954.018562793732
question-answering,sqac,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,32,0.0,1.0,kldiv,49,0.8774356236963561,77.57029607227732,60.89055793991416,16495.783333063126
question-answering,sqac,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,16,0.0,1.0,kldiv,50,0.8474684313280891,78.85269713671151,62.1244635193133,15995.767034292221
question-answering,sqac,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,64,0.0,1.0,kldiv,35,0.863405213211522,78.39817286870628,60.783261802575105,12272.59668135643
question-answering,sqac,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,32,0.0,1.0,kldiv,50,0.8696800488414187,78.42252096910052,61.212446351931334,16732.34331226349
question-answering,sqac,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,16,0.0,1.0,kldiv,44,0.8990918104430191,77.71341157657375,60.89055793991416,14223.477236032486
question-answering,tar,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,64,0.0,1.0,kldiv,33,1.4821491395852653,77.05728283644352,60.14191106906339,37009.54736971855
question-answering,tar,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,32,0.0,1.0,kldiv,34,1.4636604913386955,77.84998331254526,60.87038789025544,35398.861155986786
question-answering,tar,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,16,0.0,1.0,kldiv,48,1.4684393479971283,77.53888886545067,60.6244087038789,45796.63175010681
question-answering,tar,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,64,0.0,1.0,kldiv,40,1.4697126081909042,77.67791152454396,60.99337748344371,44091.2071993351
question-answering,tar,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,32,0.0,1.0,kldiv,34,1.4721343140286136,77.58038751812386,60.9271523178808,35187.17591428757
question-answering,tar,josecannete/albert-base-spanish-10,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,16,0.0,1.0,kldiv,50,1.4856124930308168,77.10718954390305,60.23651844843898,47458.48758673668
