teacher_model_name_or_path,learning_rate,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,28,0.4270985987968743,0.8325
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,18,0.5006802389398217,0.8185
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,27,0.4072915557771921,0.831
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,25,0.4223806788213551,0.8155
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,26,0.42014004569500685,0.8215
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,25,0.43243876239284873,0.825
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,mse,33,0.5229840837419033,0.8255
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,mse,13,0.5489803208038211,0.8125
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,ce,12,0.44826012291014194,0.7925
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,ce,13,0.45237404201179743,0.807
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,13,0.4591658106073737,0.788
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,13,0.45465807616710663,0.7975
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,0.0001,0.0,1.0,mse,25,0.43577228393405676,0.7915
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,5e-05,0.0,1.0,mse,36,0.44780462980270386,0.774
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,0.0001,0.0,1.0,ce,29,0.43458046205341816,0.793
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,5e-05,0.0,1.0,ce,34,0.44364607334136963,0.779
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,28,0.4430363904684782,0.783
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,34,0.4479765919968486,0.7865
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,mse,22,0.42497412767261267,0.8295
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,mse,34,0.4411141434684396,0.812
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,ce,23,0.3853232176043093,0.846
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,ce,50,0.42866554390639067,0.817
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,kldiv,19,0.3974840696901083,0.835
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,kldiv,26,0.42408568039536476,0.8255
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,22,0.3938862672075629,0.8285
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,36,0.4168798471800983,0.836
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,23,0.39265191135928035,0.823
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,35,0.4010475701652467,0.8285
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,26,0.3815956972539425,0.8335
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,29,0.41283119563013315,0.8135
